Min frequency : 0.05
Max frequency : 0.4
Nb of frequencies : 500

S0 ; A0 ; SH0
5.3698E0 ; 3.2649E0 ; 3.2557E0
5.3685E0 ; 3.2652E0 ; 3.2557E0
5.3672E0 ; 3.2656E0 ; 3.2557E0
5.3659E0 ; 3.266E0 ; 3.2557E0
5.3645E0 ; 3.2663E0 ; 3.2557E0
5.3632E0 ; 3.2667E0 ; 3.2557E0
5.3619E0 ; 3.267E0 ; 3.2557E0
5.3605E0 ; 3.2674E0 ; 3.2557E0
5.3592E0 ; 3.2677E0 ; 3.2557E0
5.3579E0 ; 3.2681E0 ; 3.2557E0
5.3565E0 ; 3.2684E0 ; 3.2557E0
5.3552E0 ; 3.2688E0 ; 3.2557E0
5.3538E0 ; 3.2691E0 ; 3.2557E0
5.3524E0 ; 3.2694E0 ; 3.2557E0
5.3511E0 ; 3.2698E0 ; 3.2557E0
5.3497E0 ; 3.2701E0 ; 3.2557E0
5.3483E0 ; 3.2704E0 ; 3.2557E0
5.3469E0 ; 3.2707E0 ; 3.2557E0
5.3455E0 ; 3.271E0 ; 3.2557E0
5.3441E0 ; 3.2714E0 ; 3.2557E0
5.3427E0 ; 3.2717E0 ; 3.2557E0
5.3413E0 ; 3.272E0 ; 3.2557E0
5.3399E0 ; 3.2723E0 ; 3.2557E0
5.3385E0 ; 3.2726E0 ; 3.2557E0
5.337E0 ; 3.2729E0 ; 3.2557E0
5.3356E0 ; 3.2732E0 ; 3.2557E0
5.3342E0 ; 3.2735E0 ; 3.2557E0
5.3327E0 ; 3.2738E0 ; 3.2557E0
5.3313E0 ; 3.2741E0 ; 3.2557E0
5.3298E0 ; 3.2744E0 ; 3.2557E0
5.3284E0 ; 3.2746E0 ; 3.2557E0
5.3269E0 ; 3.2749E0 ; 3.2557E0
5.3254E0 ; 3.2752E0 ; 3.2557E0
5.324E0 ; 3.2755E0 ; 3.2557E0
5.3225E0 ; 3.2757E0 ; 3.2557E0
5.321E0 ; 3.276E0 ; 3.2557E0
5.3195E0 ; 3.2763E0 ; 3.2557E0
5.318E0 ; 3.2765E0 ; 3.2557E0
5.3165E0 ; 3.2768E0 ; 3.2557E0
5.315E0 ; 3.2771E0 ; 3.2557E0
5.3135E0 ; 3.2773E0 ; 3.2557E0
5.312E0 ; 3.2776E0 ; 3.2557E0
5.3104E0 ; 3.2778E0 ; 3.2557E0
5.3089E0 ; 3.2781E0 ; 3.2557E0
5.3074E0 ; 3.2783E0 ; 3.2557E0
5.3058E0 ; 3.2786E0 ; 3.2557E0
5.3043E0 ; 3.2788E0 ; 3.2557E0
5.3027E0 ; 3.2791E0 ; 3.2557E0
5.3012E0 ; 3.2793E0 ; 3.2557E0
5.2996E0 ; 3.2795E0 ; 3.2557E0
5.298E0 ; 3.2798E0 ; 3.2557E0
5.2965E0 ; 3.28E0 ; 3.2557E0
5.2949E0 ; 3.2802E0 ; 3.2557E0
5.2933E0 ; 3.2804E0 ; 3.2557E0
5.2917E0 ; 3.2807E0 ; 3.2557E0
5.2901E0 ; 3.2809E0 ; 3.2557E0
5.2885E0 ; 3.2811E0 ; 3.2557E0
5.2869E0 ; 3.2813E0 ; 3.2557E0
5.2852E0 ; 3.2815E0 ; 3.2557E0
5.2836E0 ; 3.2817E0 ; 3.2557E0
5.282E0 ; 3.2819E0 ; 3.2557E0
5.2803E0 ; 3.2822E0 ; 3.2557E0
5.2787E0 ; 3.2824E0 ; 3.2557E0
5.277E0 ; 3.2826E0 ; 3.2557E0
5.2754E0 ; 3.2828E0 ; 3.2557E0
5.2737E0 ; 3.283E0 ; 3.2557E0
5.272E0 ; 3.2832E0 ; 3.2557E0
5.2704E0 ; 3.2833E0 ; 3.2557E0
5.2687E0 ; 3.2835E0 ; 3.2557E0
5.267E0 ; 3.2837E0 ; 3.2557E0
5.2653E0 ; 3.2839E0 ; 3.2557E0
5.2636E0 ; 3.2841E0 ; 3.2557E0
5.2619E0 ; 3.2843E0 ; 3.2557E0
5.2602E0 ; 3.2845E0 ; 3.2557E0
5.2584E0 ; 3.2846E0 ; 3.2557E0
5.2567E0 ; 3.2848E0 ; 3.2557E0
5.255E0 ; 3.285E0 ; 3.2557E0
5.2532E0 ; 3.2852E0 ; 3.2557E0
5.2515E0 ; 3.2853E0 ; 3.2557E0
5.2497E0 ; 3.2855E0 ; 3.2557E0
5.248E0 ; 3.2857E0 ; 3.2557E0
5.2462E0 ; 3.2858E0 ; 3.2557E0
5.2444E0 ; 3.286E0 ; 3.2557E0
5.2426E0 ; 3.2861E0 ; 3.2557E0
5.2409E0 ; 3.2863E0 ; 3.2557E0
5.2391E0 ; 3.2865E0 ; 3.2557E0
5.2373E0 ; 3.2866E0 ; 3.2557E0
5.2354E0 ; 3.2868E0 ; 3.2557E0
5.2336E0 ; 3.2869E0 ; 3.2557E0
5.2318E0 ; 3.2871E0 ; 3.2557E0
5.23E0 ; 3.2872E0 ; 3.2557E0
5.2281E0 ; 3.2874E0 ; 3.2557E0
5.2263E0 ; 3.2875E0 ; 3.2557E0
5.2244E0 ; 3.2876E0 ; 3.2557E0
5.2226E0 ; 3.2878E0 ; 3.2557E0
5.2207E0 ; 3.2879E0 ; 3.2557E0
5.2188E0 ; 3.288E0 ; 3.2557E0
5.217E0 ; 3.2882E0 ; 3.2557E0
5.2151E0 ; 3.2883E0 ; 3.2557E0
